PFAM	GO_term	GO	PFAM_description
PF05461	lipoprotein metabolic process	GO:0042157	ApoL
PF05461	extracellular region	GO:0005576	ApoL
PF05463	extracellular space	GO:0005615	Sclerostin
PF05464	DNA-directed 5'-3' RNA polymerase activity	GO:0003899	Phi-29_GP4
PF05464	sigma factor activity	GO:0016987	Phi-29_GP4
PF05464	regulation of DNA-templated transcription	GO:0006355	Phi-29_GP4
PF05465	gas vesicle organization	GO:0031412	Halo_GVPC
PF05465	gas vesicle	GO:0031411	Halo_GVPC
PF05470	translation initiation factor activity	GO:0003743	eIF-3c_N
PF05470	translation initiation factor binding	GO:0031369	eIF-3c_N
PF05470	translational initiation	GO:0006413	eIF-3c_N
PF05470	eukaryotic translation initiation factor 3 complex	GO:0005852	eIF-3c_N
PF05472	DNA binding	GO:0003677	Ter
PF05472	DNA replication termination	GO:0006274	Ter
PF05472	cytoplasm	GO:0005737	Ter
PF05474	coagulation	GO:0050817	Semenogelin
PF05474	negative regulation of flagellated sperm motility	GO:1901318	Semenogelin
PF05474	extracellular region	GO:0005576	Semenogelin
PF05476	translation initiation factor activity	GO:0003743	PET122
PF05476	positive regulation of mitochondrial translation	GO:0070131	PET122
PF05476	mitochondrial inner membrane	GO:0005743	PET122
PF05478	membrane	GO:0016020	Prominin
PF05479	photosynthesis	GO:0015979	PsaN
PF05479	photosystem I	GO:0009522	PsaN
PF05481	membrane	GO:0016020	Myco_19_kDa
PF05482	cellularization	GO:0007349	Serendipity_A
PF05482	cytoplasm	GO:0005737	Serendipity_A
PF05482	membrane	GO:0016020	Serendipity_A
PF05483	synaptonemal complex assembly	GO:0007130	SCP-1
PF05483	synaptonemal complex	GO:0000795	SCP-1
PF05491	DNA binding	GO:0003677	RuvB_C
PF05491	four-way junction helicase activity	GO:0009378	RuvB_C
PF05491	DNA repair	GO:0006281	RuvB_C
PF05491	DNA recombination	GO:0006310	RuvB_C
PF05493	proton-transporting ATPase activity, rotational mechanism	GO:0046961	ATP_synt_H
PF05493	proton transmembrane transport	GO:1902600	ATP_synt_H
PF05493	proton-transporting V-type ATPase, V0 domain	GO:0033179	ATP_synt_H
PF05495	zinc ion binding	GO:0008270	zf-CHY
PF05496	four-way junction helicase activity	GO:0009378	RuvB_N
PF05496	DNA repair	GO:0006281	RuvB_N
PF05496	DNA recombination	GO:0006310	RuvB_N
PF05497	lysozyme activity	GO:0003796	Destabilase
PF05499	negative regulation of DNA-templated transcription	GO:0045892	DMAP1
PF05499	nucleus	GO:0005634	DMAP1
PF05502	dynactin complex	GO:0005869	Dynactin_p62
PF05505	viral RNA genome packaging	GO:0019074	Ebola_NP
PF05505	viral nucleocapsid	GO:0019013	Ebola_NP
PF05506	phospholipase C activity	GO:0004629	PLipase_C_C
PF05506	lipid catabolic process	GO:0016042	PLipase_C_C
PF05507	microfibril	GO:0001527	MAGP
PF05509	DNA binding	GO:0003677	TraY
PF05511	proton transmembrane transporter activity	GO:0015078	ATP-synt_F6
PF05511	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt_F6
PF05511	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	ATP-synt_F6
PF05513	extracellular region	GO:0005576	TraA
PF05517	tubulin binding	GO:0015631	p25-alpha
PF05517	microtubule polymerization	GO:0046785	p25-alpha
PF05524	phosphoenolpyruvate-dependent sugar phosphotransferase system	GO:0009401	PEP-utilisers_N
PF05525	branched-chain amino acid transmembrane transporter activity	GO:0015658	Branch_AA_trans
PF05525	branched-chain amino acid transport	GO:0015803	Branch_AA_trans
PF05525	membrane	GO:0016020	Branch_AA_trans
PF05527	regulation of apoptotic process	GO:0042981	DUF758
PF05531	viral occlusion body	GO:0039679	NPV_P10
PF05543	cysteine-type peptidase activity	GO:0008234	Peptidase_C47
PF05543	proteolysis	GO:0006508	Peptidase_C47
PF05547	peptidase activity	GO:0008233	Peptidase_M6
PF05547	proteolysis	GO:0006508	Peptidase_M6
PF05550	viral process	GO:0016032	Peptidase_C53
PF05550	viral protein processing	GO:0019082	Peptidase_C53
PF05556	Z disc	GO:0030018	Calsarcin
PF05557	mitotic spindle assembly checkpoint signaling	GO:0007094	MAD
PF05558	plasma membrane	GO:0005886	DREPP
PF05562	membrane	GO:0016020	WCOR413
PF05571	response to unfolded protein	GO:0006986	JAMP
PF05571	membrane	GO:0016020	JAMP
PF05577	serine-type exopeptidase activity	GO:0070008	Peptidase_S28
PF05577	proteolysis	GO:0006508	Peptidase_S28
PF05578	serine-type endopeptidase activity	GO:0004252	Peptidase_S31
PF05579	serine-type endopeptidase activity	GO:0004252	Peptidase_S32
PF05579	viral process	GO:0016032	Peptidase_S32
PF05579	viral protein processing	GO:0019082	Peptidase_S32
PF05586	signaling receptor activity	GO:0038023	Ant_C
PF05586	membrane	GO:0016020	Ant_C
PF05587	signaling receptor activity	GO:0038023	Anth_Ig
PF05587	membrane	GO:0016020	Anth_Ig
PF05602	membrane	GO:0016020	CLPTM1
PF05609	ATPase activator activity	GO:0001671	LAP1_C
PF05615	mRNA processing	GO:0006397	THOC7
PF05615	THO complex part of transcription export complex	GO:0000445	THOC7
PF05622	microtubule binding	GO:0008017	HOOK
PF05622	cytoplasmic microtubule organization	GO:0031122	HOOK
PF05625	tRNA wobble uridine modification	GO:0002098	PAXNEB
PF05625	elongator holoenzyme complex	GO:0033588	PAXNEB
PF05631	molybdate ion transmembrane transporter activity	GO:0015098	MFS_5
PF05631	molybdate ion transport	GO:0015689	MFS_5
PF05631	membrane	GO:0016020	MFS_5
PF05634	RNA binding	GO:0003723	APO_RNA-bind
PF05637	glycosyltransferase activity	GO:0016757	Glyco_transf_34
PF05637	membrane	GO:0016020	Glyco_transf_34
PF05639	protein tag activity	GO:0031386	Pup
PF05639	proteasome binding	GO:0070628	Pup
PF05639	proteasomal protein catabolic process	GO:0010498	Pup
PF05639	modification-dependent protein catabolic process	GO:0019941	Pup
PF05639	protein pupylation	GO:0070490	Pup
PF05645	DNA binding	GO:0003677	RNA_pol_Rpc82
PF05645	DNA-templated transcription	GO:0006351	RNA_pol_Rpc82
PF05648	peroxisome fission	GO:0016559	PEX11
PF05648	peroxisomal membrane	GO:0005778	PEX11
PF05649	proteolysis	GO:0006508	Peptidase_M13_N
PF05652	hydrolase activity	GO:0016787	DcpS
PF05652	deadenylation-dependent decapping of nuclear-transcribed mRNA	GO:0000290	DcpS
PF05653	magnesium ion transmembrane transporter activity	GO:0015095	Mg_trans_NIPA
PF05653	magnesium ion transport	GO:0015693	Mg_trans_NIPA
PF05653	membrane	GO:0016020	Mg_trans_NIPA
PF05656	membrane	GO:0016020	DUF805
PF05658	outer membrane	GO:0019867	YadA_head
PF05662	outer membrane	GO:0019867	YadA_stalk
PF05669	transcription coregulator activity	GO:0003712	Med31
PF05669	regulation of DNA-templated transcription	GO:0006355	Med31
PF05669	mediator complex	GO:0016592	Med31
PF05672	microtubule cytoskeleton organization	GO:0000226	MAP7
PF05672	microtubule cytoskeleton	GO:0015630	MAP7
PF05676	mitochondrion	GO:0005739	NDUF_B7
PF05679	acetylgalactosaminyltransferase activity	GO:0008376	CHGN
PF05679	Golgi cisterna membrane	GO:0032580	CHGN
PF05680	proton transmembrane transporter activity	GO:0015078	ATP-synt_E
PF05680	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt_E
PF05680	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	ATP-synt_E
PF05681	lyase activity	GO:0016829	Fumerase
PF05683	hydro-lyase activity	GO:0016836	Fumerase_C
PF05693	glycogen (starch) synthase activity	GO:0004373	Glycogen_syn
PF05693	glycogen biosynthetic process	GO:0005978	Glycogen_syn
PF05694	selenium binding	GO:0008430	SBP56
PF05697	protein folding	GO:0006457	Trigger_N
PF05697	protein transport	GO:0015031	Trigger_N
PF05698	protein folding	GO:0006457	Trigger_C
PF05698	protein transport	GO:0015031	Trigger_C
PF05699	protein dimerization activity	GO:0046983	Dimer_Tnp_hAT
PF05700	mRNA processing	GO:0006397	BCAS2
PF05704	glycosyltransferase activity	GO:0016757	Caps_synth
PF05706	phosphoprotein phosphatase activity	GO:0004721	CDKN3
PF05706	protein tyrosine phosphatase activity	GO:0004725	CDKN3
PF05715	metal ion binding	GO:0046872	zf-piccolo
PF05715	synapse	GO:0045202	zf-piccolo
PF05719	phosphatidylinositol-4-phosphate binding	GO:0070273	GPP34
PF05720	cell adhesion	GO:0007155	Dicty_CAD
PF05722	DNA binding	GO:0003677	Ustilago_mating
PF05722	nucleus	GO:0005634	Ustilago_mating
PF05724	S-adenosylmethionine-dependent methyltransferase activity	GO:0008757	TPMT
PF05731	RNA binding	GO:0003723	TROVE
PF05732	DNA replication	GO:0006260	RepL
PF05732	plasmid maintenance	GO:0006276	RepL
PF05733	RNA binding	GO:0003723	Tenui_N
PF05735	calcium ion binding	GO:0005509	TSP_C
PF05735	cell adhesion	GO:0007155	TSP_C
PF05735	extracellular region	GO:0005576	TSP_C
PF05737	collagen binding	GO:0005518	Collagen_bind
PF05743	protein transport	GO:0015031	UEV
PF05743	protein modification process	GO:0036211	UEV
PF05745	outer membrane	GO:0019867	CRPA
PF05746	arginine-tRNA ligase activity	GO:0004814	DALR_1
PF05746	ATP binding	GO:0005524	DALR_1
PF05746	arginyl-tRNA aminoacylation	GO:0006420	DALR_1
PF05748	membrane	GO:0016020	Rubella_E1
PF05748	viral nucleocapsid	GO:0019013	Rubella_E1
PF05749	membrane	GO:0016020	Rubella_E2
PF05749	viral nucleocapsid	GO:0019013	Rubella_E2
PF05750	membrane	GO:0016020	Rubella_Capsid
PF05750	viral nucleocapsid	GO:0019013	Rubella_Capsid
PF05757	calcium ion binding	GO:0005509	PsbQ
PF05757	photosynthesis	GO:0015979	PsbQ
PF05757	photosystem II	GO:0009523	PsbQ
PF05757	photosystem II oxygen evolving complex	GO:0009654	PsbQ
PF05757	extrinsic component of membrane	GO:0019898	PsbQ
PF05758	membrane	GO:0016020	Ycf1
PF05767	viral envelope	GO:0019031	Pox_A14
PF05773	protein binding	GO:0005515	RWD
PF05777	mating behavior	GO:0007617	Acp26Ab
PF05777	extracellular region	GO:0005576	Acp26Ab
PF05778	lipid binding	GO:0008289	Apo-CIII
PF05778	lipid transport	GO:0006869	Apo-CIII
PF05778	lipoprotein metabolic process	GO:0042157	Apo-CIII
PF05778	extracellular region	GO:0005576	Apo-CIII
PF05782	signal transduction	GO:0007165	ECM1
PF05782	extracellular region	GO:0005576	ECM1
PF05786	mitotic chromosome condensation	GO:0007076	Cnd2
PF05786	condensin complex	GO:0000796	Cnd2
PF05788	RNA binding	GO:0003723	Orbi_VP1
PF05788	RNA-dependent RNA polymerase activity	GO:0003968	Orbi_VP1
PF05788	DNA-templated transcription	GO:0006351	Orbi_VP1
PF05790	cell adhesion	GO:0007155	C2-set
PF05790	membrane	GO:0016020	C2-set
PF05791	membrane	GO:0016020	Bacillus_HBL
PF05792	cell adhesion	GO:0007155	Candida_ALS
PF05793	DNA binding	GO:0003677	TFIIF_alpha
PF05793	transcription initiation at RNA polymerase II promoter	GO:0006367	TFIIF_alpha
PF05793	positive regulation of transcription elongation by RNA polymerase II	GO:0032968	TFIIF_alpha
PF05793	nucleus	GO:0005634	TFIIF_alpha
PF05797	plasmid partitioning	GO:0030541	Rep_4
PF05800	gas vesicle organization	GO:0031412	GvpO
PF05805	membrane	GO:0016020	L6_membrane
PF05817	protein N-linked glycosylation	GO:0006487	Ribophorin_II
PF05817	oligosaccharyltransferase complex	GO:0008250	Ribophorin_II
PF05817	membrane	GO:0016020	Ribophorin_II
PF05818	outer membrane	GO:0019867	TraT
PF05821	mitochondrion	GO:0005739	NDUF_B8
PF05822	magnesium ion binding	GO:0000287	UMPH-1
PF05822	5'-nucleotidase activity	GO:0008253	UMPH-1
PF05822	cytoplasm	GO:0005737	UMPH-1
PF05823	lipid binding	GO:0008289	Gp-FAR-1
PF05824	melanin-concentrating hormone activity	GO:0030354	Pro-MCH
PF05824	chemical synaptic transmission	GO:0007268	Pro-MCH
PF05826	phospholipase A2 activity	GO:0004623	Phospholip_A2_2
PF05826	phospholipid metabolic process	GO:0006644	Phospholip_A2_2
PF05826	arachidonic acid secretion	GO:0050482	Phospholip_A2_2
PF05829	DNA binding	GO:0003677	Adeno_PX
PF05829	viral nucleocapsid	GO:0019013	Adeno_PX
PF05830	hexosyltransferase activity	GO:0016758	NodZ
PF05830	oligosaccharide biosynthetic process	GO:0009312	NodZ
PF05832	membrane	GO:0016020	DUF846
PF05835	syntaxin binding	GO:0019905	Synaphin
PF05835	neurotransmitter transport	GO:0006836	Synaphin
PF05836	multicellular organism development	GO:0007275	Chorion_S16
PF05836	egg chorion	GO:0042600	Chorion_S16
PF05837	kinetochore assembly	GO:0051382	CENP-H
PF05837	kinetochore	GO:0000776	CENP-H
PF05839	anaphase-promoting complex	GO:0005680	Apc13p
PF05840	DNA replication	GO:0006260	Phage_GPA
PF05841	anaphase-promoting complex-dependent catabolic process	GO:0031145	Apc15p
PF05841	anaphase-promoting complex	GO:0005680	Apc15p
PF05842	pheromone activity	GO:0005186	Euplotes_phero
PF05842	cell communication	GO:0007154	Euplotes_phero
PF05842	extracellular region	GO:0005576	Euplotes_phero
PF05843	RNA processing	GO:0006396	Suf
PF05843	nucleus	GO:0005634	Suf
PF05845	organic phosphonate metabolic process	GO:0019634	PhnH
PF05847	DNA binding	GO:0003677	Baculo_LEF-3
PF05847	regulation of DNA-templated transcription	GO:0006355	Baculo_LEF-3
PF05849	extracellular region	GO:0005576	L-fibroin
PF05851	viral life cycle	GO:0019058	Lentivirus_VIF
PF05853	3-keto-5-aminohexanoate cleavage activity	GO:0043720	BKACE
PF05854	DNA protection	GO:0042262	MC1
PF05856	actin filament polymerization	GO:0030041	ARPC4
PF05856	Arp2/3 complex-mediated actin nucleation	GO:0034314	ARPC4
PF05856	Arp2/3 protein complex	GO:0005885	ARPC4
PF05856	actin cytoskeleton	GO:0015629	ARPC4
PF05859	mitotic cell cycle	GO:0000278	Mis12
PF05859	chromosome, centromeric region	GO:0000775	Mis12
PF05859	nucleus	GO:0005634	Mis12
PF05861	organic phosphonate metabolic process	GO:0019634	PhnI
PF05864	DNA binding	GO:0003677	Chordopox_RPO7
PF05864	DNA-directed 5'-3' RNA polymerase activity	GO:0003899	Chordopox_RPO7
PF05864	DNA-templated transcription	GO:0006351	Chordopox_RPO7
PF05866	magnesium ion binding	GO:0000287	RusA
PF05866	DNA repair	GO:0006281	RusA
PF05866	DNA recombination	GO:0006310	RusA
PF05868	membrane	GO:0016020	Rotavirus_VP7
PF05868	virion component	GO:0044423	Rotavirus_VP7
PF05869	DNA binding	GO:0003677	Dam
PF05869	site-specific DNA-methyltransferase (adenine-specific) activity	GO:0009007	Dam
PF05869	DNA restriction-modification system	GO:0009307	Dam
PF05870	carboxy-lyase activity	GO:0016831	PA_decarbox
PF05871	multivesicular body sorting pathway	GO:0071985	ESCRT-II
PF05871	ESCRT II complex	GO:0000814	ESCRT-II
PF05873	proton transmembrane transporter activity	GO:0015078	Mt_ATP-synt_D
PF05873	proton motive force-driven ATP synthesis	GO:0015986	Mt_ATP-synt_D
PF05873	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	Mt_ATP-synt_D
PF05874	neuropeptide hormone activity	GO:0005184	PBAN
PF05874	neuropeptide signaling pathway	GO:0007218	PBAN
PF05874	pheromone biosynthetic process	GO:0042811	PBAN
PF05875	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	GO:0016811	Ceramidase
PF05875	ceramide metabolic process	GO:0006672	Ceramidase
PF05875	membrane	GO:0016020	Ceramidase
PF05876	ATP hydrolysis activity	GO:0016887	GpA_ATPase
PF05881	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	GO:0004113	CNPase
PF05887	membrane	GO:0016020	Trypan_PARP
PF05889	transferase activity	GO:0016740	SepSecS
PF05891	methyltransferase activity	GO:0008168	Methyltransf_PK
PF05891	N-terminal protein amino acid methylation	GO:0006480	Methyltransf_PK
PF05892	viral capsid	GO:0019028	Tricho_coat
PF05893	acyl-CoA dehydrogenase activity	GO:0003995	LuxC
PF05893	bioluminescence	GO:0008218	LuxC
PF05896	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	GO:0016655	NQRA
PF05896	sodium ion transport	GO:0006814	NQRA
PF05902	actin binding	GO:0003779	4_1_CTD
PF05902	structural molecule activity	GO:0005198	4_1_CTD
PF05902	cytoskeleton	GO:0005856	4_1_CTD
PF05903	peptidase activity	GO:0008233	Peptidase_C97
PF05920	DNA binding	GO:0003677	Homeobox_KN
PF05920	regulation of DNA-templated transcription	GO:0006355	Homeobox_KN
PF05923	Wnt signaling pathway	GO:0016055	APC_r
PF05924	beta-catenin binding	GO:0008013	SAMP
PF05924	Wnt signaling pathway	GO:0016055	SAMP
PF05925	phosphatase activity	GO:0016791	IpgD
PF05926	viral capsid assembly	GO:0019069	Phage_GPL
PF05927	chitin binding	GO:0008061	Penaeidin
PF05927	defense response to other organism	GO:0098542	Penaeidin
PF05927	cytoplasm	GO:0005737	Penaeidin
PF05929	viral capsid assembly	GO:0019069	Phage_GPO
PF05932	protein secretion by the type III secretion system	GO:0030254	CesT
PF05933	proton transmembrane transporter activity	GO:0015078	Fun_ATP-synt_8
PF05933	proton motive force-driven ATP synthesis	GO:0015986	Fun_ATP-synt_8
PF05933	proton-transporting ATP synthase complex, coupling factor F(o)	GO:0045263	Fun_ATP-synt_8
PF05935	aryl sulfotransferase activity	GO:0004062	Arylsulfotrans
PF05937	beta-catenin binding	GO:0008013	EB1_binding
PF05937	Wnt signaling pathway	GO:0016055	EB1_binding
PF05944	DNA binding	GO:0003677	Phage_term_smal
PF05944	endonuclease activity	GO:0004519	Phage_term_smal
PF05944	viral capsid assembly	GO:0019069	Phage_term_smal
PF05946	pilus	GO:0009289	TcpA
PF05946	extracellular organelle	GO:0043230	TcpA
PF05953	neuropeptide hormone activity	GO:0005184	Allatostatin
PF05955	viral process	GO:0016032	Herpes_gp2
PF05955	membrane	GO:0016020	Herpes_gp2
PF05956	microtubule binding	GO:0008017	APC_basic
PF05956	Wnt signaling pathway	GO:0016055	APC_basic
PF05958	RNA methyltransferase activity	GO:0008173	tRNA_U5-meth_tr
PF05958	RNA processing	GO:0006396	tRNA_U5-meth_tr
PF05964	nucleus	GO:0005634	FYRN
PF05965	nucleus	GO:0005634	FYRC
PF05969	photosynthesis	GO:0015979	PSII_Ycf12
PF05969	photosystem II	GO:0009523	PSII_Ycf12
PF05969	membrane	GO:0016020	PSII_Ycf12
PF05970	DNA helicase activity	GO:0003678	PIF1
PF05970	telomere maintenance	GO:0000723	PIF1
PF05970	DNA repair	GO:0006281	PIF1
PF05971	methyltransferase activity	GO:0008168	Methyltransf_10
PF05972	beta-catenin binding	GO:0008013	APC_15aa
PF05972	Wnt signaling pathway	GO:0016055	APC_15aa
PF05975	membrane	GO:0016020	EcsB
PF05983	transcription coregulator activity	GO:0003712	Med7
PF05983	regulation of transcription by RNA polymerase II	GO:0006357	Med7
PF05983	mediator complex	GO:0016592	Med7
PF05985	ethanolamine ammonia-lyase activity	GO:0008851	EutC
PF05985	amino acid metabolic process	GO:0006520	EutC
PF05992	peptide transmembrane transporter activity	GO:1904680	SbmA_BacA
PF05992	peptide transport	GO:0015833	SbmA_BacA
PF05992	membrane	GO:0016020	SbmA_BacA
PF05993	host cell surface binding	GO:0046812	Reovirus_M2
PF05993	symbiont entry into host cell	GO:0046718	Reovirus_M2
PF05993	viral outer capsid	GO:0039624	Reovirus_M2
PF05994	small GTPase binding	GO:0031267	FragX_IP
PF05994	regulation of actin filament polymerization	GO:0030833	FragX_IP
PF05995	iron ion binding	GO:0005506	CDO_I
PF05995	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	GO:0016702	CDO_I
PF05996	oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor	GO:0016636	Fe_bilin_red
PF05996	cobalt ion binding	GO:0050897	Fe_bilin_red
PF05996	phytochromobilin biosynthetic process	GO:0010024	Fe_bilin_red
PF05997	rRNA processing	GO:0006364	Nop52
PF05997	preribosome, small subunit precursor	GO:0030688	Nop52
PF06003	RNA binding	GO:0003723	SMN_Tudor
PF06003	mRNA processing	GO:0006397	SMN_Tudor
PF06003	nucleus	GO:0005634	SMN_Tudor
PF06003	cytoplasm	GO:0005737	SMN_Tudor
PF06005	FtsZ-dependent cytokinesis	GO:0043093	ZapB
PF06005	cell septum assembly	GO:0090529	ZapB
PF06005	cytoplasm	GO:0005737	ZapB
PF06007	lyase activity	GO:0016829	PhnJ
PF06007	4 iron, 4 sulfur cluster binding	GO:0051539	PhnJ
PF06007	organic phosphonate catabolic process	GO:0019700	PhnJ
PF06008	signaling receptor binding	GO:0005102	Laminin_I
PF06008	regulation of cell adhesion	GO:0030155	Laminin_I
PF06008	regulation of cell migration	GO:0030334	Laminin_I
PF06008	regulation of embryonic development	GO:0045995	Laminin_I
PF06009	cell adhesion	GO:0007155	Laminin_II
PF06016	viral capsid	GO:0019028	Reovirus_L2_8th
PF06017	cytoskeletal motor activity	GO:0003774	Myosin_TH1
PF06017	myosin complex	GO:0016459	Myosin_TH1
PF06018	DNA binding	GO:0003677	CodY
PF06018	GTP binding	GO:0005525	CodY
PF06021	glycine N-acyltransferase activity	GO:0047961	Gly_acyl_tr_N
PF06021	mitochondrion	GO:0005739	Gly_acyl_tr_N
PF06026	ribose-5-phosphate isomerase activity	GO:0004751	Rib_5-P_isom_A
PF06026	pentose-phosphate shunt, non-oxidative branch	GO:0009052	Rib_5-P_isom_A
PF06027	transmembrane transporter activity	GO:0022857	SLC35F
PF06027	transmembrane transport	GO:0055085	SLC35F
PF06027	membrane	GO:0016020	SLC35F
PF06039	malate dehydrogenase (quinone) activity	GO:0008924	Mqo
PF06039	tricarboxylic acid cycle	GO:0006099	Mqo
PF06046	exocytosis	GO:0006887	Sec6
PF06046	exocyst	GO:0000145	Sec6
PF06047	chromatin binding	GO:0003682	Nkap_C
PF06049	blood coagulation	GO:0007596	LSPR
PF06052	3-hydroxyanthranilate 3,4-dioxygenase activity	GO:0000334	3-HAO
PF06052	iron ion binding	GO:0005506	3-HAO
PF06058	enzyme activator activity	GO:0008047	DCP1
PF06058	deadenylation-dependent decapping of nuclear-transcribed mRNA	GO:0000290	DCP1
PF06058	positive regulation of catalytic activity	GO:0043085	DCP1
PF06061	DNA binding	GO:0003677	Baculo_ME53
PF06061	zinc ion binding	GO:0008270	Baculo_ME53
PF06064	deoxyribonuclease inhibitor activity	GO:0060703	Gam
PF06068	ATP binding	GO:0005524	TIP49
PF06070	structural molecule activity	GO:0005198	Herpes_UL32
PF06072	intracellular transport of virus	GO:0075733	Herpes_US9
PF06079	calcium ion binding	GO:0005509	Apyrase
PF06079	nucleoside diphosphate phosphatase activity	GO:0017110	Apyrase
PF06083	cytokine activity	GO:0005125	IL17
PF06083	extracellular region	GO:0005576	IL17
PF06085	viral release from host cell by cytolysis	GO:0044659	Rz1
PF06087	phosphoric diester hydrolase activity	GO:0008081	Tyr-DNA_phospho
PF06087	DNA repair	GO:0006281	Tyr-DNA_phospho
PF06087	nucleus	GO:0005634	Tyr-DNA_phospho
PF06090	ATP binding	GO:0005524	Ins_P5_2-kin
PF06090	inositol pentakisphosphate 2-kinase activity	GO:0035299	Ins_P5_2-kin
PF06100	oleate hydratase activity	GO:0050151	MCRA
PF06100	FAD binding	GO:0071949	MCRA
PF06100	fatty acid metabolic process	GO:0006631	MCRA
PF06105	protein processing	GO:0016485	Aph-1
PF06105	positive regulation of catalytic activity	GO:0043085	Aph-1
PF06105	membrane	GO:0016020	Aph-1
PF06109	hemolysis in another organism	GO:0044179	HlyE
PF06112	viral capsid	GO:0019028	Herpes_capsid
PF06113	BRCA1-A complex	GO:0070531	BRE
PF06113	BRISC complex	GO:0070552	BRE
PF06116	regulation of DNA-templated transcription	GO:0006355	RinB
PF06119	cell-matrix adhesion	GO:0007160	NIDO
PF06130	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0016747	PTAC
PF06134	L-rhamnose isomerase activity	GO:0008740	RhaA
PF06134	manganese ion binding	GO:0030145	RhaA
PF06134	rhamnose metabolic process	GO:0019299	RhaA
PF06140	membrane	GO:0016020	Ifi-6-16
PF06144	DNA binding	GO:0003677	DNA_pol3_delta
PF06144	DNA-directed DNA polymerase activity	GO:0003887	DNA_pol3_delta
PF06144	DNA replication	GO:0006260	DNA_pol3_delta
PF06144	DNA polymerase III complex	GO:0009360	DNA_pol3_delta
PF06151	taste receptor activity	GO:0008527	Trehalose_recp
PF06151	detection of chemical stimulus involved in sensory perception of taste	GO:0050912	Trehalose_recp
PF06151	membrane	GO:0016020	Trehalose_recp
PF06152	structural molecule activity	GO:0005198	Phage_min_cap2
PF06154	positive regulation of cytoskeleton organization	GO:0051495	CbeA_antitoxin
PF06156	DNA replication	GO:0006260	YabA
PF06160	septin ring assembly	GO:0000921	EzrA
PF06160	septin ring	GO:0005940	EzrA
PF06160	membrane	GO:0016020	EzrA
PF06175	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	GO:0045301	MiaE
PF06175	tRNA modification	GO:0006400	MiaE
PF06179	transcription coregulator activity	GO:0003712	Med22
PF06179	regulation of transcription by RNA polymerase II	GO:0006357	Med22
PF06179	mediator complex	GO:0016592	Med22
PF06180	sirohydrochlorin cobaltochelatase activity	GO:0016852	CbiK
PF06180	anaerobic cobalamin biosynthetic process	GO:0019251	CbiK
PF06184	structural molecule activity	GO:0005198	Potex_coat
PF06184	viral capsid	GO:0019028	Potex_coat
PF06189	nucleotide binding	GO:0000166	5-nucleotidase
PF06189	magnesium ion binding	GO:0000287	5-nucleotidase
PF06189	5'-nucleotidase activity	GO:0008253	5-nucleotidase
PF06189	nucleotide metabolic process	GO:0009117	5-nucleotidase
PF06189	cytoplasm	GO:0005737	5-nucleotidase
PF06203	protein binding	GO:0005515	CCT
PF06206	lyase activity	GO:0016829	CpeT
PF06206	protein-phycocyanobilin linkage	GO:0017009	CpeT
PF06209	negative regulation of DNA-templated transcription	GO:0045892	COBRA1
PF06209	nucleus	GO:0005634	COBRA1
PF06213	cobalamin biosynthetic process	GO:0009236	CobT
PF06214	signaling receptor activity	GO:0038023	SLAM
PF06214	lymphocyte activation	GO:0046649	SLAM
PF06214	cell surface	GO:0009986	SLAM
PF06214	membrane	GO:0016020	SLAM
PF06220	zinc ion binding	GO:0008270	zf-U1
PF06221	zinc ion binding	GO:0008270	zf-C2HC5
PF06221	rescue of stalled ribosome	GO:0072344	zf-C2HC5
PF06221	nucleus	GO:0005634	zf-C2HC5
PF06221	RQC-trigger complex	GO:0180022	zf-C2HC5
PF06236	copper ion binding	GO:0005507	MelC1
PF06236	melanin biosynthetic process	GO:0042438	MelC1
PF06237	riboflavin transmembrane transporter activity	GO:0032217	SLC52_ribofla_tr
PF06237	riboflavin transport	GO:0032218	SLC52_ribofla_tr
PF06237	plasma membrane	GO:0005886	SLC52_ribofla_tr
PF06246	generation of catalytic spliceosome for second transesterification step	GO:0000350	Isy1
PF06247	cell surface	GO:0009986	Plasmod_Pvs28
PF06247	membrane	GO:0016020	Plasmod_Pvs28
PF06248	mitotic cell cycle	GO:0000278	Zw10_N
PF06248	chromosome, centromeric region	GO:0000775	Zw10_N
PF06248	nucleus	GO:0005634	Zw10_N
PF06253	methyltransferase activity	GO:0008168	MTTB
PF06253	methanogenesis	GO:0015948	MTTB
PF06257	regulation of DNA-templated transcription	GO:0006355	VEG
PF06268	protein-macromolecule adaptor activity	GO:0030674	Fascin
PF06268	actin filament binding	GO:0051015	Fascin
